site_id,s_site_latitude,s_site_longitude
CTNH515A,41.3395,-72.8474
PHS0415A,40.037362,-75.214826
CHYH013A,41.979264,-87.90515
RC01383A,44.71195,-84.28417
AUYB101A,28.874113,-96.998073
CL34071Z,42.1533278,-79.8854806
NM01622B,35.79591667,-103.837722
9AT2044F,34.005128,-84.654529
LI80050A,40.98345,-73.68479
3ONS222B,43.04395555,-76.3310417
9AT0095Y,33.87889,-84.3433292
PH10812E,32.11708333,-111.041639
1DE3723A,39.94638888,-75.2944444
CH4161BA,41.968563,-87.738987
VG09972A,36.04072223,-115.1876889
SE05257Z,47.18881119,-122.963673
HI04154A,19.73313056,-155.026981
A3K0800A,31.102472,-96.702416
PH10150D,33.68861111,-112.041389
CTHA276A,41.74507,-72.68798
DE0977BA,42.659775,-83.132502
SF15020Z,36.3556662,-121.899868
9AT4462M,33.24803,-84.23283
NJ08131A,39.92527778,-74.1719444
NY01042A,40.75813617,-73.9706771
DN01639B,39.86199723,-104.9954695
SE01628M,47.815,-122.3175
SP09052E,46.57113888,-120.594389
5GBR001A,36.0748,-79.969
CH42674C,41.43314,-87.32203
NM01073C,35.05777778,-106.546667
DA01518D,33.41666667,-97.4666667
DA04525S,31.9953083,-102.1516306
6WP1018K,26.68611111,-80.2805556
1GL6806A,39.73355449,-75.0637993
SPY0203A,47.673565,-117.206401
DA02834B,31.70009444,-102.635833
ON06328A,40.141395,-97.708052
TEST225A,40.72015,-74.00496
A1O0626T,46.5251973,-93.7319377
4PR1409A,41.86225,-71.23926
SE80138A,47.605036,-122.201554
PH10171A,33.60861111,-112.088889
IE24374Z,34.043839,-117.870433
PH30812A,32.19361111,-110.948889
3MCO788A,41.92805,-78.53563
WI01940C,38.284936,-101.752789
DM06407A,41.185419,-91.201862
DA06017A,32.61172,-93.86745
HI01188A,21.4625109,-158.0220983
DNS0297A,39.745206,-105.025012
A2J0204B,null,null
A4C0985C,40.98544444,-78.1750833
A1O0758A,45.115,-93.4533333
A5D0306B,38.935297,-94.666219
A1O0060A,45.23732976,-93.4734793
SE02511F,47.50444444,-122.147778
AU015470,30.40839867,-97.6587425
VAS0030A,37.558884,-77.42608
VA60047W,37.55812,-75.82793
PT80079A,45.6366,-122.50608
LA02058A,33.65294648,-117.994032
2AD4356A,39.940799,-77.380599
VA71988A,37.69089722,-77.58198888
3DEA404A,42.003889,-75.351586
NYS0384A,40.667051,-73.949377
LI12176D,40.81771,-73.4646668
LIS0894A,40.885156,-72.405149
NYS0181A,40.689632,-73.975003
7BAN457E,39.38675556,-76.2840611
SE03226B,47.77056,-122.338566
CL41372C,40.71002778,-82.5473056
2CT9316F,41.13673,-77.45012
AU01172A,30.267923,-97.744055
9AT1170A,33.99658888,-84.4781111
WE03753K,40.91805555,-73.9016667
NJS0543A,40.69435674,-74.09463193
NJS1322A,40.73272928,-74.06087403
SV11294A,34.54202778,-118.110444
PO0101BA,45.573296,-122.791055
A3D0142A,28.70188888,-96.2108333
DNH0009A,39.60733,-105.94562
SP01262B,47.70556,-116.84695
UP31082A,42.42107095,-75.68103124
PT80220A,45.45935,-122.78931
DN80103A,39.67303,-104.78816
HN0232BA,29.7456995,-95.3700175
BA60628S,38.76998333,-122.9999139
9AT5662A,34.0613333,-84.6599722
CH31061B,42.03688888,-87.8175555
A1P0103Z,44.78104992,-93.5551735
DA0144WA,32.248322,-95.307858
7WAN127K,39.43498611,-77.3963555
PO01036C,43.384927,-124.249121
DCS0804A,38.900173,-77.028174
NEB1301A,42.25113,-71.07755
4HY0604E,41.678333,-70.2175
SE04116H,46.10805555,-122.147778
PHS1447A,39.881737,-75.032376
NJ08596D,40.41471,-74.65192
4BG0710A,44.811267,-68.611836
3ERB431C,42.973064,-78.8374225
9AT2547X,33.24040872,-81.3694884
CH92739A,41.78525001,-87.60900001
9LV0519X,36.82223695,-83.7445434
SF40970A,40.6684,-124.229
NJ05843C,40.76878,-74.18214
SE92004A,47.69370999,-122.166791
AT80524A,33.9573,-84.13332
4PR0340B,41.528877,-71.296067
WI03066A,37.96938002,-101.2014017
9LV0451B,null,null
A1R0063Z,47.3105,-97.4143
SV11209X,34.08668056,-118.3215
2LA3198A,40.061389,-76.239289
1BU8781A,40.33563,-75.2259
4MNS032A,42.7355833,-71.3926997
4PQ0935B,47.330821,-68.337115
9AT5741A,32.248539,-85.42823
A3B0023A,30.18906502,-95.4383332
DE01019A,42.586753,-83.2366
BQ04342A,40.663577,-73.937806
CL11263D,41.06775587,-81.4425852
5CT0652A,34.996474,-80.299775
4LN0802A,43.63484,-72.33514
CHS0561A,41.899063,-87.627013
DEYH0A7A,42.28453055,-83.72904166
5WS0310A,36.44761018,-81.41272611
DN06255A,40.478375,-105.0748306
A1O0162A,46.05612917,-93.8952405
IE04037A,34.07499972,-118.035769
PH50110A,33.432822,-111.904283
DM04578A,42.979497,-90.636956
CH80051E,41.95364,-87.74779
SV00465A,35.383114,-119.132299
DN1922BA,39.532913,-104.796274
SE01602A,47.94191666,-122.228694
VA52400A,37.98229581,-78.5848026
CI13453[,35,-86
SV12469A,34.28525277,-118.501686
BA21822A,37.86683,-121.66828
DA01095D,32.91052777,-96.8155833
5RA0706A,35.783494,-78.690989
3GER239C,43.012703,-78.09681
OR0090WA,28.43094,-81.441003
NYS0699A,40.736592,-73.993075
A4J0126Z,40.41247223,-79.90902223
SL01353C,38.86766052,-111.61056
9AT1022A,33.812571,-84.542272
AT80150A,30.47086,-84.28955
VG08284A,36.12869444,-115.314903
3ALA137B,42.76091667,-73.9392778
4BS0544C,42.12194444,-71.2702778
CH74316B,41.98806,-88.054509
DA01303A,32.97277777,-96.7097222
AR01301C,36.2716,-94.2666
2PCCLT4A,40.8087,-77.858
A1Q0857T,44.142,-91.7125
NO03319Z,31.34814,-92.5507
9BH1975A,34.835919,-87.62475
DN04849D,39.06663889,-108.7465
A1O0771A,45.13136111,-93.2690556
DA01815A,33.16240705,-96.9824907
PO00308B,44.94432222,-122.980981
MU01362A,43.81332,-86.39597
7BAN687A,39.43512222,-76.6311583
NYY8403A,40.732849,-73.986122
A1Y9601A,44.970894,-93.22708
CT11808A,41.33555556,-73.0797222
7WAN265A,39.14066666,-77.185
SP09058D,47.57158333,-120.372
A3F0407A,30.030569,-95.433073
M478300A,42.47361111,-83.2855556
CH16730H,null,null
NY10493A,42.00773982,-73.9889025
ATYH0B9A,33.752035,-84.382243
LI13092B,40.9604029,-72.188399
NO00206A,32.55333333,-92.95
BA10065D,37.955838,-122.500198
PH69318A,40.238464,-111.0114622
SE07122A,48.06726667,-122.572267
CL80001R,42.07089316,-80.040796
IE04761A,34.09252,-117.447163
TK01436B,31.04511111,-97.6292472
9NV1951A,36.07129,-86.69241
1CA7842B,39.862516,-74.924265
LA02937C,33.69356345,-117.865682
ML93883A,46.51020834,-90.50409445
NO00048D,null,null
MO1153BA,30.0264,-89.9889
SP01804B,47.583308,-117.384924
LA75134T,34.00909,-118.493073
8OB0667A,33.352464,-80.829783
DA07404M,32.84159,-97.16616
SF94833S,37.37727778,-121.9202222
A1P0917A,44.829052,-94.278858
CH78459A,41.56,-88.0469722
NJ07143B,40.790892,-74.56025
LI13220D,40.845719,-73.264167
SE04619C,47.47977778,-122.161139
VA60226A,37.1463,-76.4002
SE02830D,47.43888889,-122.068611
SL06139A,43.7019,-112.005507
AR01439C,36.13016666,-94.1561944
MXS0265A,37.601106,-120.994383
LA61048A,33.94473409,-118.3737001
PH12504E,33.50857,-112.34762
9JK1876Z,30.27930069,-82.68180084
SV13557Z,34.77819723,-118.281
TU01831A,36.51179444,-94.7786806
VA41084A,37.60383333,-77.5397778
A2G0311C,27.989739,-82.507175
CH81061A,41.954469,-87.673358
